ID,ps_learn_1,ps_learn_2,ps_learn_3,ps_learn_4,ps_learn_5,ps_learn_6,ps_learn_7,ps_learn_8,ps_learn_9,ps_learn_10,ps_learn_11,ps_learn_12,ps_chal_1,ps_chal_2,ps_chal_3,ps_chal_4,ps_chal_5,ps_chal_6,ps_chal_7,ps_chal_8,ps_chal_9,ps_chal_10,ps_chal_11,ps_chal_12,ps_dif_1,ps_dif_2,ps_dif_3,ps_dif_4,ps_dif_5,ps_dif_6,ps_dif_7,ps_dif_8,ps_dif_9,ps_dif_10,ps_dif_11,ps_dif_12,connect_iden_1,connect_iden_2,connect_iden_3,connect_iden_4,connect_iden_5,connect_iden_6,connect_iden_7,connect_iden_8,connect_iden_9,connect_iden_10,connect_iden_11,connect_iden_12,connect_cohe_1,connect_cohe_2,connect_cohe_3,connect_cohe_4,connect_cohe_5,connect_cohe_6,connect_cohe_7,connect_cohe_8,connect_cohe_9,connect_cohe_10,connect_cohe_11,connect_cohe_12,connect_help_1,connect_help_2,connect_help_3,connect_help_4,connect_help_5,connect_help_6,connect_help_7,connect_help_8,connect_help_9,connect_help_10,connect_help_11,connect_help_12,growth_learn_1,growth_learn_2,growth_learn_3,growth_learn_4,growth_learn_5,growth_learn_6,growth_learn_7,growth_learn_8,growth_learn_9,growth_learn_10,growth_learn_11,growth_learn_12,growth_outs_1,growth_outs_2,growth_outs_3,growth_outs_4,growth_outs_5,growth_outs_6,growth_outs_7,growth_outs_8,growth_outs_9,growth_outs_10,growth_outs_11,growth_outs_12,growth_resil_1,growth_resil_2,growth_resil_3,growth_resil_4,growth_resil_5,growth_resil_6,growth_resil_7,growth_resil_8,growth_resil_9,growth_resil_10,growth_resil_11,growth_resil_12
1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3
3,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5
4,4,5,4,4,5,4,3,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,3,1,4,4,4,5,5,5,5,5,5,3,3,2,3,4,5,2,3,1,1,5,5,5,5,5,3,3,3,4,4,5,4,3,5,1,1,1,2,2,2,2,2,1,1,3,3,3,5,3,4,4,4,5,5,5,5,5,5,3,3,3,3,4,4,1,1,1,3,3,4,5,5,5,4,4,4,4,3,3,2,5,5,2,1,4
5,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
6,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5
7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
8,5,5,5,6,4,5,5,5,6,6,6,5,4,5,5,5,4,5,5,5,5,5,4,4,5,5,5,5,5,5,6,5,6,5,6,5,5,5,5,6,4,5,5,5,5,6,6,5,5,5,4,5,5,5,5,5,5,5,6,5,5,6,5,5,6,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,5,5,3,5,5,5,5,5,5,5,4,5,5,5,5,5,5
9,5,5,5,6,5,5,6,6,4,6,6,6,4,4,5,4,5,4,5,5,5,5,4,5,6,5,5,5,5,5,5,4,6,5,6,6,6,3,5,5,5,5,5,5,4,5,5,5,5,5,4,6,6,6,6,5,5,5,5,5,6,5,6,6,6,5,4,4,5,5,5,4,4,5,5,5,5,4,5,5,6,5,5,5,4,4,4,5,4,4,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5
10,5,5,5,5,5,5,5,3,3,5,5,5,5,5,5,4,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,6,4,5,5,5,5,5,5,5,6,6,6,6,5,4,5,5,5,5,5,5,5,6,5,5,5,6,6,5,5,6,5,5,4,4,4,4,4,4,5,5,5,5,5,5,5,4,5,5,4,4,5,5,5,3,6,4,3,5,5,4,5,5,5,6,4,6,5,6,6,6,6
11,5,5,6,6,5,5,5,6,3,6,6,6,5,5,5,4,6,6,6,6,6,6,4,5,5,5,5,5,4,5,4,5,5,5,5,5,5,4,5,4,2,4,5,4,6,4,5,5,5,5,4,5,4,5,5,5,4,5,5,5,6,6,6,6,6,6,6,5,6,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5
12,4,6,5,5,4,4,5,5,5,5,5,5,4,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,5,5
13,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,5,6,5,5,5,5,4,5,4,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,5,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,5,5,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6
14,5,5,6,5,5,5,6,5,5,5,5,6,5,6,5,5,5,3,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,6,4,4,5,5,5,5,4,5,5,5,5,6,4,5,4,4,5,4,4,4,4,4,4,5,6,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,6,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,4
